%Frequency (Hz)	Switch Term Drift (dB)	Directivity Drift (dB)	Tracking Drift Mag (dB)	Tracking Drift Phase (°)	Symmetry Drift Mag (dB)	Symmetry Drift Phase (°)	Match Drift (dB)	Isolation Drift (dB)
5.2739e+09	-49.244	-49.244	0.20101	0.67422	0.18076	0.43625	-49.244	-120
5.2825e+09	-49.467	-49.467	0.20452	0.62464	0.1851	0.29493	-49.467	-120
5.2911e+09	-49.636	-49.636	0.20502	0.68729	0.18483	0.41928	-49.636	-120
5.2997e+09	-50.398	-50.398	0.18703	0.65547	0.17504	0.36902	-50.398	-120
5.3083e+09	-51.794	-51.794	0.21135	0.6528	0.19322	0.39521	-51.794	-120
5.3168e+09	-51.291	-51.291	0.21528	0.65035	0.19765	0.44876	-51.291	-120
5.3254e+09	-50.774	-50.774	0.23016	0.71316	0.2097	0.46372	-50.774	-120
5.334e+09	-50.454	-50.454	0.2247	0.71825	0.20455	0.54361	-50.454	-120
5.3426e+09	-50.61	-50.61	0.2193	0.76653	0.20245	0.52555	-50.61	-120
5.3512e+09	-48.782	-48.782	0.20105	0.73565	0.17431	0.49799	-48.782	-120
5.3598e+09	-48.198	-48.198	0.22983	0.7399	0.20969	0.51314	-48.198	-120
5.3684e+09	-47.886	-47.886	0.22422	0.67092	0.20347	0.44582	-47.886	-120
5.377e+09	-47.65	-47.65	0.2225	0.75526	0.19792	0.52149	-47.65	-120
5.3856e+09	-47.828	-47.828	0.23115	0.7196	0.20877	0.52032	-47.828	-120
5.3941e+09	-48.495	-48.495	0.22232	0.68664	0.20449	0.46883	-48.495	-120
5.4027e+09	-49.437	-49.437	0.21614	0.67371	0.19728	0.43316	-49.437	-120
5.4113e+09	-50.357	-50.357	0.20276	0.65525	0.1797	0.41372	-50.357	-120
5.4199e+09	-50.556	-50.556	0.20283	0.69281	0.18251	0.47174	-50.556	-120
5.4285e+09	-51.14	-51.14	0.21944	0.73868	0.19645	0.49244	-51.14	-120
5.4371e+09	-51.939	-51.939	0.21855	0.73223	0.19333	0.52274	-51.939	-120
5.4457e+09	-51.695	-51.695	0.21008	0.6713	0.18993	0.45342	-51.695	-120
5.4542e+09	-52.355	-52.355	0.22436	0.69871	0.20586	0.49679	-52.355	-120
5.4628e+09	-51.828	-51.828	0.21267	0.67005	0.19818	0.4553	-51.828	-120
5.4714e+09	-52.42	-52.42	0.21768	0.71426	0.19868	0.52377	-52.42	-120
5.48e+09	-51.32	-51.32	0.21021	0.7376	0.18834	0.54575	-51.32	-120
5.4886e+09	-50.162	-50.162	0.21634	0.75727	0.19695	0.50581	-50.162	-120
5.4972e+09	-49.773	-49.773	0.21739	0.7525	0.20323	0.55518	-49.773	-120
5.5058e+09	-49.271	-49.271	0.22659	0.72208	0.20607	0.42865	-49.271	-120
5.5144e+09	-49.425	-49.425	0.21988	0.79981	0.19809	0.50944	-49.425	-120
5.523e+09	-49.802	-49.802	0.22599	0.71623	0.20969	0.44706	-49.802	-120
5.5315e+09	-50.115	-50.115	0.20207	0.72412	0.18378	0.46019	-50.115	-120
5.5401e+09	-50.195	-50.195	0.22548	0.72592	0.21487	0.51883	-50.195	-120
5.5487e+09	-50.205	-50.205	0.20876	0.69597	0.18634	0.4584	-50.205	-120
5.5573e+09	-50.144	-50.144	0.21288	0.76127	0.20072	0.51856	-50.144	-120
5.5659e+09	-50.237	-50.237	0.21656	0.75023	0.19819	0.47533	-50.237	-120
5.5745e+09	-50.451	-50.451	0.20257	0.72632	0.1812	0.46533	-50.451	-120
5.5831e+09	-50.912	-50.912	0.22419	0.7463	0.20044	0.53214	-50.912	-120
5.5916e+09	-51.302	-51.302	0.20891	0.7092	0.19005	0.3994	-51.302	-120
5.6002e+09	-52.192	-52.192	0.21059	0.7822	0.19342	0.53329	-52.192	-120
5.6088e+09	-51.22	-51.22	0.2164	0.75765	0.19806	0.52847	-51.22	-120
5.6174e+09	-50.334	-50.334	0.21493	0.73401	0.20336	0.45807	-50.334	-120
5.626e+09	-49.443	-49.443	0.21784	0.73525	0.19945	0.41374	-49.443	-120
5.6346e+09	-49.133	-49.133	0.22318	0.77149	0.20279	0.51647	-49.133	-120
5.6432e+09	-49.021	-49.021	0.23071	0.74205	0.21092	0.48016	-49.021	-120
5.6518e+09	-48.865	-48.865	0.2101	0.73445	0.1913	0.46299	-48.865	-120
5.6604e+09	-48.928	-48.928	0.21837	0.71122	0.19749	0.43302	-48.928	-120
5.6689e+09	-48.581	-48.581	0.21851	0.68118	0.20059	0.41949	-48.581	-120
5.6775e+09	-47.548	-47.548	0.20238	0.72167	0.18161	0.4995	-47.548	-120
5.6861e+09	-46.882	-46.882	0.21952	0.65955	0.19782	0.42495	-46.882	-120
5.6947e+09	-46.083	-46.083	0.21682	0.71483	0.19722	0.4872	-46.083	-120
5.7033e+09	-46.488	-46.488	0.1913	0.63582	0.17158	0.39306	-46.488	-120
5.7119e+09	-46.347	-46.347	0.20959	0.70209	0.19075	0.45985	-46.347	-120
5.7205e+09	-46.42	-46.42	0.21681	0.65003	0.19606	0.36534	-46.42	-120
5.729e+09	-47.277	-47.277	0.20662	0.64797	0.1849	0.40304	-47.277	-120
5.7376e+09	-47.943	-47.943	0.20993	0.63836	0.18603	0.40865	-47.943	-120
5.7462e+09	-47.393	-47.393	0.20371	0.65579	0.1846	0.38653	-47.393	-120
5.7548e+09	-46.822	-46.822	0.22836	0.71859	0.21016	0.43191	-46.822	-120
5.7634e+09	-46.894	-46.894	0.22155	0.73929	0.20229	0.49133	-46.894	-120
5.772e+09	-47.086	-47.086	0.20942	0.7064	0.18965	0.45985	-47.086	-120
5.7806e+09	-47.637	-47.637	0.21163	0.64532	0.1897	0.42191	-47.637	-120
5.7892e+09	-48.879	-48.879	0.20565	0.63269	0.18734	0.43763	-48.879	-120
5.7978e+09	-49.491	-49.491	0.19331	0.63148	0.16917	0.37322	-49.491	-120
5.8063e+09	-49.34	-49.34	0.21806	0.69588	0.19567	0.41895	-49.34	-120
5.8149e+09	-48.969	-48.969	0.20659	0.70499	0.18722	0.4547	-48.969	-120
5.8235e+09	-48.512	-48.512	0.19944	0.66971	0.17575	0.37981	-48.512	-120
5.8321e+09	-48.845	-48.845	0.18777	0.68094	0.16951	0.46244	-48.845	-120
5.8407e+09	-48.799	-48.799	0.19676	0.68439	0.17091	0.45365	-48.799	-120
5.8493e+09	-50.094	-50.094	0.18382	0.70477	0.1654	0.508	-50.094	-120
5.8579e+09	-50.755	-50.755	0.16814	0.62945	0.14855	0.35552	-50.755	-120
5.8664e+09	-50.468	-50.468	0.18965	0.64414	0.17077	0.411	-50.468	-120
5.875e+09	-49.979	-49.979	0.18674	0.65453	0.16274	0.41666	-49.979	-120
5.8836e+09	-49.78	-49.78	0.1805	0.64831	0.1556	0.43513	-49.78	-120
5.8922e+09	-49.827	-49.827	0.18786	0.70412	0.17121	0.47565	-49.827	-120
5.9008e+09	-48.963	-48.963	0.21075	0.73615	0.18961	0.47926	-48.963	-120
5.9094e+09	-47.869	-47.869	0.23557	0.78047	0.22064	0.53981	-47.869	-120
5.918e+09	-47.94	-47.94	0.21267	0.6773	0.19162	0.43144	-47.94	-120
5.9266e+09	-46.927	-46.927	0.24474	0.81871	0.22053	0.50883	-46.927	-120
5.9352e+09	-45.939	-45.939	0.24883	0.7665	0.22618	0.54501	-45.939	-120
5.9437e+09	-45.637	-45.637	0.24312	0.68551	0.22928	0.47446	-45.637	-120
5.9523e+09	-45.402	-45.402	0.1972	0.68105	0.17186	0.42347	-45.402	-120
5.9609e+09	-45.003	-45.003	0.21888	0.68683	0.19296	0.44686	-45.003	-120
5.9695e+09	-44.939	-44.939	0.21	0.63255	0.17944	0.44848	-44.939	-120
5.9781e+09	-45.263	-45.263	0.19007	0.67564	0.17233	0.4387	-45.263	-120
5.9867e+09	-45.435	-45.435	0.1984	0.675	0.17485	0.40174	-45.435	-120
5.9953e+09	-45.36	-45.36	0.19614	0.61559	0.1793	0.4279	-45.36	-120
6.0038e+09	-45.077	-45.077	0.20484	0.73572	0.18876	0.54128	-45.077	-120
6.0124e+09	-45.51	-45.51	0.21985	0.63553	0.20035	0.44756	-45.51	-120
6.021e+09	-45.286	-45.286	0.19908	0.66167	0.17588	0.45527	-45.286	-120
6.0296e+09	-45.065	-45.065	0.20896	0.72286	0.18204	0.52707	-45.065	-120
6.0382e+09	-45.304	-45.304	0.18998	0.6521	0.16803	0.44855	-45.304	-120
6.0468e+09	-45.194	-45.194	0.22286	0.70759	0.19798	0.49372	-45.194	-120
6.0554e+09	-45.743	-45.743	0.20429	0.67101	0.18169	0.46336	-45.743	-120
6.064e+09	-45.378	-45.378	0.22983	0.71307	0.21377	0.51939	-45.378	-120
6.0726e+09	-44.568	-44.568	0.22747	0.7097	0.20739	0.51167	-44.568	-120
6.0811e+09	-44.232	-44.232	0.22402	0.69081	0.19883	0.48813	-44.232	-120
6.0897e+09	-44.125	-44.125	0.22064	0.68746	0.20381	0.48405	-44.125	-120
6.0983e+09	-44.52	-44.52	0.20818	0.62301	0.19218	0.41047	-44.52	-120
6.1069e+09	-44.736	-44.736	0.21447	0.65806	0.19379	0.45967	-44.736	-120
6.1155e+09	-45.627	-45.627	0.21133	0.64142	0.19096	0.3819	-45.627	-120
6.1241e+09	-46.116	-46.116	0.17012	0.59592	0.15003	0.30398	-46.116	-120
6.1327e+09	-46.353	-46.353	0.16947	0.62394	0.14998	0.32	-46.353	-120
6.1412e+09	-46.569	-46.569	0.21247	0.6541	0.20001	0.44162	-46.569	-120
6.1498e+09	-47.174	-47.174	0.18586	0.5997	0.16971	0.34589	-47.174	-120
6.1584e+09	-47.759	-47.759	0.19503	0.62475	0.1791	0.3483	-47.759	-120
6.167e+09	-47.415	-47.415	0.19012	0.59188	0.17616	0.34014	-47.415	-120
6.1756e+09	-47.5	-47.5	0.17429	0.63077	0.15115	0.37705	-47.5	-120
6.1842e+09	-47.854	-47.854	0.17542	0.58664	0.1577	0.3479	-47.854	-120
6.1928e+09	-48.19	-48.19	0.17089	0.6572	0.15304	0.42207	-48.19	-120
6.2014e+09	-48.934	-48.934	0.16685	0.62733	0.15434	0.36737	-48.934	-120
6.21e+09	-48.873	-48.873	0.17291	0.64359	0.15357	0.33626	-48.873	-120
6.2185e+09	-48.699	-48.699	0.16712	0.63401	0.15079	0.39963	-48.699	-120
6.2271e+09	-49.276	-49.276	0.18528	0.58393	0.1735	0.31234	-49.276	-120
6.2357e+09	-50.455	-50.455	0.18937	0.63734	0.1761	0.37794	-50.455	-120
6.2443e+09	-49.353	-49.353	0.18093	0.64538	0.16399	0.30196	-49.353	-120
6.2529e+09	-49.274	-49.274	0.20007	0.68262	0.18437	0.43575	-49.274	-120
6.2615e+09	-49.377	-49.377	0.19818	0.63434	0.18254	0.40533	-49.377	-120
6.2701e+09	-49.42	-49.42	0.17805	0.66256	0.15788	0.33267	-49.42	-120
6.2786e+09	-49.158	-49.158	0.18941	0.74611	0.17274	0.37574	-49.158	-120
6.2872e+09	-49.238	-49.238	0.18022	0.65634	0.16187	0.41268	-49.238	-120
6.2958e+09	-50.227	-50.227	0.18545	0.70513	0.17229	0.36554	-50.227	-120
6.3044e+09	-48.905	-48.905	0.18938	0.66297	0.17361	0.35255	-48.905	-120
6.313e+09	-47.627	-47.627	0.17418	0.66851	0.15781	0.40012	-47.627	-120
6.3216e+09	-46.22	-46.22	0.20149	0.69355	0.18283	0.40316	-46.22	-120
6.3302e+09	-45.454	-45.454	0.20357	0.63223	0.18233	0.33537	-45.454	-120
6.3388e+09	-45.083	-45.083	0.20567	0.7181	0.18724	0.48549	-45.083	-120
6.3474e+09	-44.959	-44.959	0.2069	0.71279	0.18934	0.45614	-44.959	-120
6.3559e+09	-44.886	-44.886	0.20141	0.7334	0.17858	0.50702	-44.886	-120
6.3645e+09	-44.581	-44.581	0.21867	0.73565	0.19512	0.55987	-44.581	-120
6.3731e+09	-44.933	-44.933	0.2202	0.62523	0.19914	0.37566	-44.933	-120
6.3817e+09	-44.846	-44.846	0.20942	0.63987	0.19484	0.4236	-44.846	-120
6.3903e+09	-44.096	-44.096	0.21878	0.67792	0.20063	0.42997	-44.096	-120
6.3989e+09	-43.933	-43.933	0.20158	0.66808	0.17995	0.46129	-43.933	-120
6.4075e+09	-44.235	-44.235	0.21874	0.62866	0.19951	0.40971	-44.235	-120
6.416e+09	-44.164	-44.164	0.21601	0.67692	0.19366	0.4173	-44.164	-120
6.4246e+09	-44.574	-44.574	0.2093	0.66798	0.1845	0.39464	-44.574	-120
6.4332e+09	-45.624	-45.624	0.1952	0.64997	0.17717	0.39229	-45.624	-120
6.4418e+09	-47.14	-47.14	0.19409	0.67329	0.17245	0.35994	-47.14	-120
6.4504e+09	-49.138	-49.138	0.21208	0.67466	0.19118	0.37301	-49.138	-120
6.459e+09	-48.612	-48.612	0.19929	0.72228	0.18396	0.46124	-48.612	-120
6.4676e+09	-47.7	-47.7	0.22656	0.69199	0.20471	0.44712	-47.7	-120
6.4762e+09	-47.461	-47.461	0.20019	0.62836	0.17964	0.41637	-47.461	-120
6.4848e+09	-47.439	-47.439	0.22309	0.70555	0.20199	0.5265	-47.439	-120
6.4933e+09	-48.032	-48.032	0.21699	0.59083	0.19494	0.38008	-48.032	-120
6.5019e+09	-47.046	-47.046	0.22998	0.71593	0.21505	0.45776	-47.046	-120
6.5105e+09	-45.438	-45.438	0.21087	0.65194	0.18855	0.37365	-45.438	-120
6.5191e+09	-44.647	-44.647	0.23079	0.6439	0.2047	0.40388	-44.647	-120
6.5277e+09	-44.197	-44.197	0.21698	0.68873	0.19453	0.38499	-44.197	-120
6.5363e+09	-43.507	-43.507	0.20068	0.63924	0.17726	0.36142	-43.507	-120
6.5449e+09	-43.827	-43.827	0.21381	0.65943	0.19743	0.40907	-43.827	-120
6.5534e+09	-44.473	-44.473	0.22238	0.73205	0.19805	0.46997	-44.473	-120
6.562e+09	-45.079	-45.079	0.23473	0.6574	0.22645	0.43321	-45.079	-120
6.5706e+09	-46.42	-46.42	0.2242	0.69174	0.20394	0.40037	-46.42	-120
6.5792e+09	-47.597	-47.597	0.21615	0.67402	0.19319	0.45371	-47.597	-120
6.5878e+09	-49.453	-49.453	0.22714	0.67158	0.21105	0.47703	-49.453	-120
6.5964e+09	-50.672	-50.672	0.23436	0.60574	0.21703	0.31974	-50.672	-120
6.605e+09	-49.355	-49.355	0.19582	0.69239	0.17892	0.38848	-49.355	-120
6.6136e+09	-48.646	-48.646	0.20772	0.67554	0.18888	0.40907	-48.646	-120
6.6222e+09	-48.191	-48.191	0.19823	0.65284	0.17559	0.38112	-48.191	-120
6.6307e+09	-48.132	-48.132	0.21499	0.73035	0.19813	0.3856	-48.132	-120
6.6393e+09	-47.057	-47.057	0.22292	0.70063	0.21271	0.43012	-47.057	-120
6.6479e+09	-46.437	-46.437	0.19081	0.67063	0.17526	0.38361	-46.437	-120
6.6565e+09	-46.653	-46.653	0.19176	0.71018	0.17285	0.42272	-46.653	-120
6.6651e+09	-46.567	-46.567	0.20029	0.59577	0.18375	0.30568	-46.567	-120
6.6737e+09	-47.007	-47.007	0.20386	0.63261	0.18441	0.33724	-47.007	-120
6.6823e+09	-48.644	-48.644	0.20758	0.70393	0.18969	0.40658	-48.644	-120
6.6908e+09	-48.009	-48.009	0.18799	0.64215	0.17217	0.39113	-48.009	-120
6.6994e+09	-46.888	-46.888	0.19639	0.62963	0.1774	0.36899	-46.888	-120
6.708e+09	-46.366	-46.366	0.2001	0.68762	0.17618	0.3848	-46.366	-120
6.7166e+09	-46.394	-46.394	0.21428	0.60387	0.19738	0.32452	-46.394	-120
6.7252e+09	-46.36	-46.36	0.21361	0.67044	0.19067	0.37847	-46.36	-120
6.7338e+09	-47.173	-47.173	0.22922	0.69851	0.21014	0.3794	-47.173	-120
6.7424e+09	-47.716	-47.716	0.20564	0.68274	0.18593	0.37103	-47.716	-120
6.751e+09	-46.731	-46.731	0.19802	0.64961	0.18116	0.36216	-46.731	-120
6.7596e+09	-45.343	-45.343	0.19319	0.6296	0.17708	0.33954	-45.343	-120
6.7681e+09	-44.976	-44.976	0.18283	0.63689	0.16356	0.34892	-44.976	-120
6.7767e+09	-45.064	-45.064	0.18579	0.6019	0.16818	0.26726	-45.064	-120
6.7853e+09	-44.41	-44.41	0.1935	0.70132	0.17222	0.3392	-44.41	-120
6.7939e+09	-44.127	-44.127	0.20055	0.65359	0.18044	0.31459	-44.127	-120
6.8025e+09	-44.813	-44.813	0.1862	0.69365	0.16426	0.36362	-44.813	-120
6.8111e+09	-46.512	-46.512	0.18708	0.62157	0.17342	0.31799	-46.512	-120
6.8197e+09	-46.082	-46.082	0.20984	0.65318	0.18428	0.34041	-46.082	-120
6.8282e+09	-46.208	-46.208	0.19616	0.65432	0.17716	0.32285	-46.208	-120
6.8368e+09	-45.896	-45.896	0.18462	0.60609	0.15922	0.34424	-45.896	-120
6.8454e+09	-46.243	-46.243	0.20331	0.68917	0.18767	0.46373	-46.243	-120
6.854e+09	-46.945	-46.945	0.17827	0.59463	0.1594	0.30995	-46.945	-120
6.8626e+09	-47.655	-47.655	0.19436	0.5944	0.17147	0.35582	-47.655	-120
6.8712e+09	-47.711	-47.711	0.19373	0.69014	0.17452	0.33465	-47.711	-120
6.8798e+09	-48.649	-48.649	0.19563	0.70357	0.17274	0.38991	-48.649	-120
6.8884e+09	-47.28	-47.28	0.18518	0.59452	0.16111	0.29818	-47.28	-120
6.897e+09	-47.118	-47.118	0.18088	0.59614	0.15801	0.301	-47.118	-120
6.9055e+09	-46.326	-46.326	0.19303	0.6583	0.1729	0.37222	-46.326	-120
6.9141e+09	-45.774	-45.774	0.19805	0.68611	0.18024	0.33756	-45.774	-120
6.9227e+09	-46.064	-46.064	0.19238	0.7017	0.1761	0.43683	-46.064	-120
6.9313e+09	-46.288	-46.288	0.20632	0.67053	0.19022	0.33802	-46.288	-120
6.9399e+09	-46.388	-46.388	0.20575	0.72487	0.18595	0.46248	-46.388	-120
6.9485e+09	-46.709	-46.709	0.2028	0.65416	0.185	0.32579	-46.709	-120
6.9571e+09	-47.203	-47.203	0.19506	0.68263	0.171	0.36547	-47.203	-120
6.9656e+09	-47.701	-47.701	0.20632	0.63798	0.18903	0.34663	-47.701	-120
6.9742e+09	-47.774	-47.774	0.19487	0.71043	0.1754	0.37051	-47.774	-120
6.9828e+09	-48.26	-48.26	0.19917	0.64695	0.17653	0.39974	-48.26	-120
6.9914e+09	-49.098	-49.098	0.20798	0.67814	0.18735	0.41274	-49.098	-120
7e+09	-48.986	-48.986	0.20132	0.68569	0.17696	0.38328	-48.986	-120
