%Frequency (Hz)	Switch Term Drift (dB)	Directivity Drift (dB)	Tracking Drift Mag (dB)	Tracking Drift Phase (°)	Symmetry Drift Mag (dB)	Symmetry Drift Phase (°)	Match Drift (dB)	Isolation Drift (dB)
1.2807e+09	-60.909	-60.909	0.14546	0.63875	0.13197	0.51514	-60.909	-120
1.2893e+09	-62.138	-62.138	0.14848	0.67711	0.14937	0.56378	-62.138	-120
1.2979e+09	-58.892	-58.892	0.14563	0.64291	0.14282	0.4779	-58.892	-120
1.3065e+09	-58.526	-58.526	0.14188	0.63682	0.13179	0.54291	-58.526	-120
1.3151e+09	-57.349	-57.349	0.13535	0.53417	0.12824	0.40387	-57.349	-120
1.3237e+09	-58.281	-58.281	0.15448	0.63974	0.15544	0.53044	-58.281	-120
1.3322e+09	-57.906	-57.906	0.13821	0.68116	0.13452	0.52073	-57.906	-120
1.3408e+09	-56.744	-56.744	0.15067	0.66608	0.14208	0.47781	-56.744	-120
1.3494e+09	-57.143	-57.143	0.17358	0.6453	0.16507	0.53028	-57.143	-120
1.358e+09	-56.615	-56.615	0.14556	0.5786	0.1362	0.46509	-56.615	-120
1.3666e+09	-56.45	-56.45	0.15434	0.64558	0.15287	0.55182	-56.45	-120
1.3752e+09	-56.549	-56.549	0.15743	0.61694	0.15043	0.47528	-56.549	-120
1.3838e+09	-57.154	-57.154	0.1707	0.71548	0.16752	0.56111	-57.154	-120
1.3924e+09	-57.377	-57.377	0.16262	0.69894	0.15245	0.58709	-57.377	-120
1.401e+09	-59.422	-59.422	0.161	0.61891	0.15492	0.48312	-59.422	-120
1.4095e+09	-59.382	-59.382	0.14594	0.65832	0.13986	0.55546	-59.382	-120
1.4181e+09	-58.787	-58.787	0.14993	0.62486	0.14366	0.49095	-58.787	-120
1.4267e+09	-57.141	-57.141	0.14938	0.6077	0.142	0.43155	-57.141	-120
1.4353e+09	-57.157	-57.157	0.16678	0.67007	0.16343	0.47094	-57.157	-120
1.4439e+09	-57.083	-57.083	0.12734	0.56603	0.12534	0.44156	-57.083	-120
1.4525e+09	-56.972	-56.972	0.15013	0.68604	0.14779	0.5354	-56.972	-120
1.4611e+09	-58.481	-58.481	0.13289	0.6302	0.12656	0.49975	-58.481	-120
1.4696e+09	-57.63	-57.63	0.14454	0.63966	0.1417	0.49923	-57.63	-120
1.4782e+09	-57.935	-57.935	0.12634	0.62207	0.12613	0.48982	-57.935	-120
1.4868e+09	-57.171	-57.171	0.13482	0.70022	0.12824	0.52629	-57.171	-120
1.4954e+09	-57.781	-57.781	0.13903	0.635	0.13412	0.45613	-57.781	-120
1.504e+09	-57.249	-57.249	0.14798	0.65012	0.14239	0.48161	-57.249	-120
1.5126e+09	-57.949	-57.949	0.13619	0.66603	0.12946	0.4708	-57.949	-120
1.5212e+09	-56.362	-56.362	0.1652	0.67054	0.15679	0.47713	-56.362	-120
1.5298e+09	-56.541	-56.541	0.16607	0.69727	0.15753	0.54436	-56.541	-120
1.5384e+09	-56.702	-56.702	0.17628	0.72312	0.16597	0.54201	-56.702	-120
1.5469e+09	-56.231	-56.231	0.16757	0.81368	0.1615	0.62257	-56.231	-120
1.5555e+09	-55.727	-55.727	0.16477	0.69266	0.15621	0.52775	-55.727	-120
1.5641e+09	-56.954	-56.954	0.19415	0.72298	0.18352	0.51029	-56.954	-120
1.5727e+09	-57.62	-57.62	0.16561	0.68497	0.162	0.50921	-57.62	-120
1.5813e+09	-58.027	-58.027	0.17743	0.75606	0.15957	0.59228	-58.027	-120
1.5899e+09	-59.404	-59.404	0.18121	0.68052	0.1739	0.52	-59.404	-120
1.5985e+09	-60.831	-60.831	0.14882	0.66269	0.14047	0.56266	-60.831	-120
1.607e+09	-62.364	-62.364	0.15262	0.63736	0.14503	0.45964	-62.364	-120
1.6156e+09	-63.014	-63.014	0.14729	0.62039	0.14098	0.52375	-63.014	-120
1.6242e+09	-63.573	-63.573	0.1373	0.67793	0.12876	0.51119	-63.573	-120
1.6328e+09	-62.208	-62.208	0.16256	0.66929	0.15751	0.48167	-62.208	-120
1.6414e+09	-59.586	-59.586	0.16905	0.63061	0.16285	0.4909	-59.586	-120
1.65e+09	-58.611	-58.611	0.16939	0.75122	0.15641	0.6025	-58.611	-120
1.6586e+09	-57.339	-57.339	0.15759	0.76742	0.14863	0.61613	-57.339	-120
1.6672e+09	-56.94	-56.94	0.1543	0.63512	0.14829	0.43766	-56.94	-120
1.6758e+09	-56.468	-56.468	0.16746	0.63244	0.15966	0.47278	-56.468	-120
1.6843e+09	-57.118	-57.118	0.15432	0.62033	0.14055	0.44451	-57.118	-120
1.6929e+09	-56.346	-56.346	0.15391	0.57624	0.14188	0.4449	-56.346	-120
1.7015e+09	-57.681	-57.681	0.15325	0.61204	0.14706	0.43023	-57.681	-120
1.7101e+09	-57.617	-57.617	0.1496	0.59669	0.1424	0.43825	-57.617	-120
1.7187e+09	-56.267	-56.267	0.16516	0.66237	0.156	0.46619	-56.267	-120
1.7273e+09	-56.514	-56.514	0.1532	0.60564	0.14449	0.45166	-56.514	-120
1.7359e+09	-56.595	-56.595	0.15298	0.62425	0.14692	0.44039	-56.595	-120
1.7444e+09	-56.159	-56.159	0.16995	0.60709	0.16111	0.43884	-56.159	-120
1.753e+09	-56.827	-56.827	0.17142	0.70437	0.1646	0.5551	-56.827	-120
1.7616e+09	-56.862	-56.862	0.15872	0.664	0.14481	0.50071	-56.862	-120
1.7702e+09	-58.077	-58.077	0.1598	0.63206	0.15638	0.48298	-58.077	-120
1.7788e+09	-58.746	-58.746	0.27028	0.90617	0.26512	0.70373	-58.746	-120
1.7874e+09	-57.229	-57.229	0.23928	0.84884	0.23667	0.66011	-57.229	-120
1.796e+09	-56.897	-56.897	0.22863	0.74416	0.22046	0.56467	-56.897	-120
1.8046e+09	-56.197	-56.197	0.16065	0.64494	0.1478	0.43191	-56.197	-120
1.8132e+09	-56.291	-56.291	0.2297	0.87088	0.22012	0.6959	-56.291	-120
1.8217e+09	-55.566	-55.566	0.27726	0.95551	0.26702	0.77326	-55.566	-120
1.8303e+09	-55.83	-55.83	0.24193	0.78923	0.24206	0.62259	-55.83	-120
1.8389e+09	-56.254	-56.254	0.15751	0.7055	0.15661	0.57155	-56.254	-120
1.8475e+09	-55.582	-55.582	0.16665	0.72696	0.16273	0.55324	-55.582	-120
1.8561e+09	-55.189	-55.189	0.1555	0.69397	0.14959	0.49493	-55.189	-120
1.8647e+09	-56.464	-56.464	0.16149	0.60522	0.15293	0.3817	-56.464	-120
1.8733e+09	-56.787	-56.787	0.15215	0.71688	0.14478	0.58032	-56.787	-120
1.8818e+09	-58.149	-58.149	0.15035	0.6941	0.13425	0.52308	-58.149	-120
1.8904e+09	-57.944	-57.944	0.15473	0.6712	0.14401	0.51559	-57.944	-120
1.899e+09	-60.434	-60.434	0.13225	0.61605	0.11715	0.43797	-60.434	-120
1.9076e+09	-58.698	-58.698	0.14044	0.64909	0.1329	0.43585	-58.698	-120
1.9162e+09	-56.454	-56.454	0.15857	0.64185	0.1492	0.45312	-56.454	-120
1.9248e+09	-55.591	-55.591	0.17233	0.72904	0.16787	0.53674	-55.591	-120
1.9334e+09	-55.113	-55.113	0.16957	0.72605	0.15728	0.47465	-55.113	-120
1.942e+09	-54.658	-54.658	0.16161	0.6882	0.15592	0.48577	-54.658	-120
1.9506e+09	-54.719	-54.719	0.15544	0.69498	0.14725	0.49325	-54.719	-120
1.9591e+09	-54.895	-54.895	0.13517	0.6673	0.12218	0.4557	-54.895	-120
1.9677e+09	-55.289	-55.289	0.14991	0.69494	0.13691	0.54575	-55.289	-120
1.9763e+09	-55.596	-55.596	0.14772	0.71617	0.13508	0.48924	-55.596	-120
1.9849e+09	-56.254	-56.254	0.17006	0.66153	0.15574	0.46418	-56.254	-120
1.9935e+09	-56.954	-56.954	0.14519	0.68494	0.13045	0.51518	-56.954	-120
2.0021e+09	-56.892	-56.892	0.15914	0.66885	0.14495	0.51816	-56.892	-120
2.0107e+09	-56.996	-56.996	0.15767	0.64813	0.1467	0.48622	-56.996	-120
2.0192e+09	-58.251	-58.251	0.13256	0.67832	0.12117	0.55678	-58.251	-120
2.0278e+09	-59.598	-59.598	0.15191	0.66106	0.13955	0.45068	-59.598	-120
2.0364e+09	-58.424	-58.424	0.15169	0.62093	0.14151	0.51031	-58.424	-120
2.045e+09	-57.368	-57.368	0.15633	0.67542	0.14559	0.54897	-57.368	-120
2.0536e+09	-56.011	-56.011	0.16177	0.71822	0.15261	0.50812	-56.011	-120
2.0622e+09	-55.031	-55.031	0.17085	0.66464	0.15571	0.46528	-55.031	-120
2.0708e+09	-55.598	-55.598	0.15699	0.6744	0.14856	0.46171	-55.598	-120
2.0794e+09	-56.333	-56.333	0.16475	0.61807	0.15501	0.42319	-56.333	-120
2.088e+09	-56.152	-56.152	0.17384	0.71056	0.16487	0.47327	-56.152	-120
2.0965e+09	-56.094	-56.094	0.17647	0.63893	0.171	0.42013	-56.094	-120
2.1051e+09	-55.339	-55.339	0.16469	0.73038	0.14707	0.54014	-55.339	-120
2.1137e+09	-55.166	-55.166	0.16208	0.65083	0.15399	0.46864	-55.166	-120
2.1223e+09	-55.165	-55.165	0.17174	0.65041	0.15946	0.50481	-55.165	-120
2.1309e+09	-56.337	-56.337	0.16883	0.58902	0.16921	0.39451	-56.337	-120
2.1395e+09	-56.584	-56.584	0.15461	0.65564	0.14273	0.49371	-56.584	-120
2.1481e+09	-57.706	-57.706	0.18826	0.70795	0.18156	0.5457	-57.706	-120
2.1566e+09	-57.103	-57.103	0.19549	0.70377	0.1946	0.50695	-57.103	-120
2.1652e+09	-57.105	-57.105	0.18303	0.69391	0.17335	0.47293	-57.105	-120
2.1738e+09	-56.267	-56.267	0.18705	0.63651	0.18328	0.43572	-56.267	-120
2.1824e+09	-55.679	-55.679	0.19592	0.65739	0.18788	0.49119	-55.679	-120
2.191e+09	-55.687	-55.687	0.19302	0.66367	0.19346	0.4793	-55.687	-120
2.1996e+09	-56.109	-56.109	0.20733	0.73963	0.20038	0.57961	-56.109	-120
2.2082e+09	-56.83	-56.83	0.1832	0.70317	0.17642	0.4554	-56.83	-120
2.2168e+09	-57.077	-57.077	0.16548	0.64992	0.15567	0.46262	-57.077	-120
2.2254e+09	-56.003	-56.003	0.17057	0.72887	0.16488	0.46756	-56.003	-120
2.2339e+09	-56.313	-56.313	0.16821	0.73333	0.15188	0.52231	-56.313	-120
2.2425e+09	-55.456	-55.456	0.18143	0.67381	0.17614	0.4821	-55.456	-120
2.2511e+09	-56.642	-56.642	0.16536	0.69525	0.16657	0.45815	-56.642	-120
2.2597e+09	-56.297	-56.297	0.17319	0.71808	0.16135	0.4987	-56.297	-120
2.2683e+09	-56.308	-56.308	0.18844	0.73713	0.17871	0.51956	-56.308	-120
2.2769e+09	-57.413	-57.413	0.17556	0.83009	0.16603	0.57921	-57.413	-120
2.2855e+09	-58.355	-58.355	0.21262	0.76503	0.2009	0.59035	-58.355	-120
2.294e+09	-59.125	-59.125	0.17248	0.67258	0.16576	0.50481	-59.125	-120
2.3026e+09	-57.968	-57.968	0.17196	0.67531	0.16232	0.47447	-57.968	-120
2.3112e+09	-56.991	-56.991	0.14553	0.70649	0.13811	0.5418	-56.991	-120
2.3198e+09	-56.577	-56.577	0.14909	0.71226	0.13605	0.50297	-56.577	-120
2.3284e+09	-55.264	-55.264	0.1733	0.70842	0.15632	0.51025	-55.264	-120
2.337e+09	-54.831	-54.831	0.17581	0.6935	0.1646	0.48336	-54.831	-120
2.3456e+09	-54.489	-54.489	0.19071	0.6959	0.17833	0.50911	-54.489	-120
2.3542e+09	-54.295	-54.295	0.19839	0.73872	0.1778	0.54028	-54.295	-120
2.3628e+09	-53.967	-53.967	0.18554	0.74774	0.1732	0.58907	-53.967	-120
2.3713e+09	-54.071	-54.071	0.19182	0.70012	0.17718	0.54304	-54.071	-120
2.3799e+09	-54.021	-54.021	0.19183	0.67969	0.17538	0.4691	-54.021	-120
2.3885e+09	-54.245	-54.245	0.19034	0.66506	0.17778	0.45628	-54.245	-120
2.3971e+09	-54.648	-54.648	0.18481	0.70677	0.16647	0.50273	-54.648	-120
2.4057e+09	-55.891	-55.891	0.18361	0.68925	0.16538	0.4914	-55.891	-120
2.4143e+09	-56.331	-56.331	0.18588	0.75406	0.17425	0.59833	-56.331	-120
2.4229e+09	-55.474	-55.474	0.18806	0.7271	0.17397	0.56528	-55.474	-120
2.4314e+09	-54.868	-54.868	0.19058	0.70476	0.17267	0.54031	-54.868	-120
2.44e+09	-54.601	-54.601	0.22543	0.81931	0.21267	0.58404	-54.601	-120
2.4486e+09	-54.627	-54.627	0.18761	0.66176	0.16994	0.4984	-54.627	-120
2.4572e+09	-54.731	-54.731	0.19245	0.64568	0.1752	0.44121	-54.731	-120
2.4658e+09	-54.262	-54.262	0.17284	0.673	0.16066	0.47429	-54.262	-120
2.4744e+09	-54.937	-54.937	0.18443	0.67378	0.17483	0.51164	-54.937	-120
2.483e+09	-54.198	-54.198	0.17991	0.72069	0.16786	0.53804	-54.198	-120
2.4916e+09	-54.708	-54.708	0.17805	0.66377	0.16263	0.47418	-54.708	-120
2.5002e+09	-55.837	-55.837	0.16114	0.67504	0.15294	0.43611	-55.837	-120
2.5087e+09	-56.583	-56.583	0.18116	0.67981	0.16549	0.47717	-56.583	-120
2.5173e+09	-57.093	-57.093	0.19463	0.69013	0.18445	0.53046	-57.093	-120
2.5259e+09	-58.531	-58.531	0.18449	0.69817	0.16977	0.48864	-58.531	-120
2.5345e+09	-57.489	-57.489	0.17868	0.74808	0.16893	0.53265	-57.489	-120
2.5431e+09	-56.411	-56.411	0.20709	0.77876	0.18562	0.59204	-56.411	-120
2.5517e+09	-56.161	-56.161	0.19951	0.61414	0.18503	0.42406	-56.161	-120
2.5603e+09	-56.344	-56.344	0.20652	0.76652	0.19212	0.53722	-56.344	-120
2.5688e+09	-56.26	-56.26	0.20274	0.72139	0.1817	0.47823	-56.26	-120
2.5774e+09	-56.425	-56.425	0.22083	0.79561	0.21161	0.55265	-56.425	-120
2.586e+09	-56.878	-56.878	0.20165	0.73866	0.19382	0.5281	-56.878	-120
2.5946e+09	-56.447	-56.447	0.20216	0.68063	0.19247	0.4553	-56.447	-120
2.6032e+09	-55.8	-55.8	0.16251	0.72349	0.14453	0.56426	-55.8	-120
2.6118e+09	-55.502	-55.502	0.18842	0.72345	0.17108	0.51414	-55.502	-120
2.6204e+09	-55.37	-55.37	0.18775	0.74639	0.17321	0.53106	-55.37	-120
2.629e+09	-55.369	-55.369	0.20003	0.71008	0.18768	0.47938	-55.369	-120
2.6376e+09	-56.091	-56.091	0.18309	0.72139	0.16968	0.53297	-56.091	-120
2.6461e+09	-55.884	-55.884	0.17856	0.6208	0.16293	0.42642	-55.884	-120
2.6547e+09	-54.207	-54.207	0.1851	0.66575	0.17428	0.4443	-54.207	-120
2.6633e+09	-53.351	-53.351	0.19443	0.75261	0.17966	0.54409	-53.351	-120
2.6719e+09	-51.998	-51.998	0.25455	0.80251	0.24013	0.57157	-51.998	-120
